coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-0.1094,51.5141",Thu Jan 28 12:20:54 +0000 2021,kelseyhydromiller nike nikelondon summer light dawn shadow lockdown newlife,,https://www.instagram.com/p/CKlqSbAnt0L/?igshid=b6vlmae1vd9v,0,1354766399101677570,,,,en,"City of London, London",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","We living from a distance 🪟⏳📡

📸 @phillipsuddick 

#kelseyhydromiller #nike #nikelondon #summer #light #dawn #shadow #lockdown #newlife @ London, United Kingdom https://t.co/kx7Hou5yEx",https://twitter.com/_kelsey_miller/status/1354766399101677570,Fri Mar 05 23:19:43 +0000 2010,120264356,false,Watertribe/H20 younger/ House of Atlantis / Aspiring Engineer/ Model! Boy Blue Entertainment Instagram- @kelseyhydromiller,929,563,756,10,Essex,Hydro,_kelsey_miller,7877,,http://www.theeyecasting.com/models/gallery_new.php?pictureID=771&model=716,false
"-1.51433799,50.91690388",Thu Jan 28 13:15:45 +0000 2021,staysafe stayathome supportyourlocal,,https://www.instagram.com/p/CKlwkFYJeiX/?igshid=8jurh7bahop3,0,1354780200391725058,,,,en,"Totton, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Lockdown Box just £20, select your draught and pick your wine, just message your order and will be delivered to your doorstep for your lockdown Saturday night in! #staysafe #stayathome #supportyourlocal @ SO40 Cafe Bar https://t.co/tTTYAnPtDA",https://twitter.com/so40cafebar/status/1354780200391725058,Fri Jul 31 09:43:51 +0000 2020,1289134473016160256,false,so40 will be reopening W/C 17th May 2021 in-line with government guidelines.,33,12,28,0,"Totton, England",so40,so40cafebar,183,,,false
"-73.92413457,40.82874907",Thu Jan 28 11:21:30 +0000 2021,,,https://www.instagram.com/p/CKljfixpwrb/?igshid=4bxxm63rqyx2,0,1354751450849669120,,,,en,"Bronx, NY",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID-19 update @ Bronx, NY https://t.co/kSuH6UGEWi",https://twitter.com/johnnybebad666_/status/1354751450849669120,Mon Sep 09 05:59:59 +0000 2019,1170939664196354048,false,🔨support81 Harley-Davidson XL1200 CX Roadster HOG⸸⛧Satanist🦇goth goal oriented bassist?🎸metal💀extra acting s&m sex women only ct3475843316 Tri Technologies♌,9051,110,1070,1,"New York, NY",John Fitzgerald Kennedy Page®,johnnybebad666_,28982,,https://www.suicidegirls.com/join/?aid=1032495,false
"-74.0064,40.7142",Thu Jan 28 11:22:39 +0000 2021,,,https://www.instagram.com/p/CKljn1bJzxr/?igshid=1rrpdou7pws88,0,1354751741791592449,,,,en,"Manhattan, NY",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID-19 update @ New York, New York https://t.co/RuX0STSbc9",https://twitter.com/johnnybebad666_/status/1354751741791592449,Mon Sep 09 05:59:59 +0000 2019,1170939664196354048,false,🔨support81 Harley-Davidson XL1200 CX Roadster HOG⸸⛧Satanist🦇goth goal oriented bassist?🎸metal💀extra acting s&m sex women only ct3475843316 Tri Technologies♌,9051,110,1070,1,"New York, NY",John Fitzgerald Kennedy Page®,johnnybebad666_,28982,,https://www.suicidegirls.com/join/?aid=1032495,false
"-76.71243813,39.34737012",Thu Jan 28 13:53:30 +0000 2021,,,https://www.instagram.com/p/CKl04vfprxB/?igshid=1b7d9rlwmev8b,0,1354789703170613248,,,,en,"Lochearn, MD",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Free Drive-thru Covid-19 testing this Saturday starting at 9am @newpsalmist Baptist Church. @ New Psalmist Baptist Church https://t.co/92mxsXlIrd,https://twitter.com/Mr_GodChaser/status/1354789703170613248,Tue Dec 17 17:53:41 +0000 2013,2230450143,false,I'm Just A Man Who Loves The Power of Christ and Credit!,109,123,794,3,Maryland,Kevin Harris,Mr_GodChaser,811,,http://www.care4credit.com,false
"-73.56725453,45.75975883",Thu Jan 28 13:44:33 +0000 2021,,,http://dlvr.it/RrWvWB,0,1354787451844218887,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Northern Ireland's health workers to receive £500 special recognition payment - Swann: Northern Ireland's health workers are set to receive a £500 special recognition payment, Health Minister Robin Swann has said. Subject to ... https://t.co/a4DiIwVRWw",https://twitter.com/StigmabaseN/status/1354787451844218887,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951806,,https://www.stigmabase.org/,false
"3.39583,6.45306",Thu Jan 28 12:17:26 +0000 2021,COVID19 lockdown coronavirus covidarchitecture everydayspaces everydayafrica architecture window,,https://www.instagram.com/p/CKlp5LdFHwL/?igshid=4bfs17o9qfpu,0,1354765525096783875,,,,en,"Lagos, Nigeria",true,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Locked Down. 2020.
Lagos/Calabar. 

Experiencing lockdown in and out of Lagos and Calabar was... 

#COVID19
#lockdown
#coronavirus
#covidarchitecture

#everydayspaces
#everydayafrica
#architecture
#window https://t.co/3oOMyHNUuh",https://twitter.com/jide_yeni/status/1354765525096783875,Thu Apr 19 18:24:05 +0000 2012,558019749,false,"B&W • Artist using digital media to tell people centered stories of the built environment • Linguaphile

Curious about the Christian experience",5314,284,494,25,"Lagos, Nigeria",YẸNI,jide_yeni,9232,,http://www.olajideayeni.com,false
"-80.24084771,43.15619893",Thu Jan 28 13:57:47 +0000 2021,,,https://www.instagram.com/p/CKl1YKUFqw4/?igshid=18khrtgrrjnaq,0,1354790780347539457,,,,en,"Brantford, Ontario",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thanks for including us• @kcsilver626 Date night, lockdown style
Amazing dinner from @mercasa_inc followed by beer &amp; donut pairing by @rhythmbrewsbeer &amp; @redeyecambridge @ Mercasa Little Italy Eatery https://t.co/7kouT3sJ7N",https://twitter.com/MercasaInc/status/1354790780347539457,Fri Aug 07 00:36:57 +0000 2015,3406405937,false,Founder & Executive Chef: Tom Mercante,701,253,418,10,"195 Henry Street, Brantford",Mercasa Little Italy Eatery,MercasaInc,1676,,http://www.mercasa.ca,false
"-81.170479,28.640651",Thu Jan 28 12:32:40 +0000 2021,Coffee CoffeeMug Funny Don Covid ThePolice GiftFromMyDaughter,,https://www.instagram.com/p/CKlrdQdB7BE/?igshid=vul2rycfdslk,1,1354769359848296449,,,,en,"Oviedo, FL",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","But first, coffee!  

Thank you Gabby for my mug!

#Coffee #CoffeeMug #Funny #Don’tStandSoCloseToMe #Covid #ThePolice #GiftFromMyDaughter @ Twin Rivers https://t.co/GMBbtA7qFG",https://twitter.com/JohnWeeden/status/1354769359848296449,Tue Dec 02 17:30:42 +0000 2008,17812714,false,"Sales and Marketing by Day, Musician/Producer by Night. No cape. Just a damn good utility belt. My new single “Knocking” by Rhymes With Sweden now out! Listen👇",504,2291,267,119,"Florida, USA",John Weeden,JohnWeeden,8225,,https://distrokid.com/hyperfollow/rhymeswithsweden/knocking,false
"-83.02125093,40.05480957",Thu Jan 28 13:10:03 +0000 2021,,,,2,1354778767680528390,SG_Hardin,1354608999887499264,21655290,en,"Columbus, OH",,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@SG_Hardin And don’t forget bikes 🚲🥳🙌

- Biking has the most 💥 for 💵
- Biking builds stronger, connected communities
- Biking comes with free health benefits
- Biking is accessible to all ages and socioeconomic classes
- There is tons of pent up demand (as we’ve witnessed during COVID)",https://twitter.com/wckoehler/status/1354778767680528390,Sat Aug 14 13:37:27 +0000 2010,178330475,false,Developer specializing in full-stack web applications,4933,368,151,19,"Columbus, OH",Will Koehler,wckoehler,7168,,https://willkoehler.net,false
