coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-2.23611111,53.41722222",Wed Jul 07 19:39:00 +0000 2021,,,https://www.instagram.com/p/CRCbnPMLkTF/?utm_medium=twitter,1,1412858710221856770,,,,en,"Manchester, England",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","The wardrobe bought online throughout lockdown is RELEASED! 

Cocktail o'clock time 🍾🍷🥂🍹🧉 @ Didsbury https://t.co/7Q5L0qoRN6",https://twitter.com/RiannaPhillips/status/1412858710221856770,Thu Jul 14 18:39:14 +0000 2011,335465790,false,Personalised lifestyle accessories & style ⋆ @Etsy ⋆ @Silkfred ⋆ @notonthehighstreet ⋆,1108,1477,1453,65,Manchester,Rianna Phillips,RiannaPhillips,19573,,http://www.riannaphillips.com,false
"38.4411,55.8536",Wed Jul 07 19:54:43 +0000 2021,wearamask rusija järvi jezero industrialtown,,https://www.instagram.com/p/CRCVCOzlzGu/?utm_medium=twitter,0,1412862665849028612,,,,en,"Ногинск, Россия",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Noginsk unexpectedly soothed my longing for Finland, specifically Tampere.  The air is great 😍  #wearamask  #rusija   #järvi #jezero #industrialtown @ Noginsk https://t.co/WtxH6HsDiA",https://twitter.com/serpent849/status/1412862665849028612,Sat May 02 18:55:43 +0000 2009,37257445,false,"passionate about football ⚽, my OTP, travel ✈, languages and Finland (juu, puhun suomee😍). #forzaviola since 2008 💜 
panromantic/demi.",3987,487,443,66,Norðrhálfa,Serpent 💜 Feminist Birch,serpent849,277341,,https://www.patreon.com/polako,false
"76.8958,43.2775",Thu Jul 08 02:11:52 +0000 2021,Covid FLOW,,https://www.instagram.com/p/CRDIku0haoUZ7vuRP_UkRtug822Xwub05tEnRw0/?utm_medium=twitter,0,1412957576954793987,,,,en,Kazakhstan,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Covid comes to end, #FLOW comes to town, I come to Almaty, alas! @ Almaty, Kazakhstan https://t.co/hkUPs4XX3L",https://twitter.com/buzady/status/1412957576954793987,Sun Dec 15 11:06:45 +0000 2013,2247049903,false,"Global Expert in Flow & Leadership Development, Associate Professor of Leadership, Design Thinking Pioneer.",20,109,382,3,"Budapest, Hungary",zoltan buzady,buzady,531,,https://www.linkedin.com/in/zoltanbuzady/,false
"-73.56725453,45.75975883",Thu Jul 08 03:01:10 +0000 2021,,,http://dlvr.it/S3HKKj,0,1412969984662249473,,,,en,"Mascouche, Québec",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: 'Vaccine passports' delay throws holiday plans into disarray: On Monday the Health Minister told the Assembly the scheme had received more than 4,500 applications in its first few days of operation. Robin Swann ... https://t.co/e6yyBr5bHb",https://twitter.com/StigmabaseN/status/1412969984662249473,Wed Sep 15 15:55:47 +0000 2010,191092262,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1611,1297,110,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,StigmabaseN,951948,,https://www.stigmabase.org/,false
"139.776725,35.71343333",Wed Jul 07 23:57:57 +0000 2021,covid19japan ueno tokyo,,https://www.instagram.com/p/CRC5PzELeXY/?utm_medium=twitter,0,1412923876993024003,,,,en,東京 台東区,false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","In Japan we don’t have a lockdown system so the population is getting used to COVID. 

Need the economy to be moving but at the same time we have to be very careful. 

#covid19japan #ueno #tokyo 場所: 上野駅 https://t.co/FR0li3B0E2",https://twitter.com/MASTERMOEPEACE/status/1412923876993024003,Thu Aug 27 01:29:36 +0000 2009,69161471,false,新潟は長岡に住んでおります。10年間アメリカはシアトルにいたバイリンガルですが、実は以外と古風で趣味は空手道です。MOTTO IS TO STRIVE IN LIFE. CORPES DIEM!!,20,1292,1946,43,新潟県長岡市,水澤　元博,MASTERMOEPEACE,7105,,http://www.mizu-den.co.jp,false
"-8.67408702,52.67434541",Wed Jul 07 20:27:42 +0000 2021,,,https://www.instagram.com/p/CRChMAfLn3QBfSk6qN74n7y9VSoJt19-vnT9QY0/?utm_medium=twitter,5,1412870964342317062,,,,en,"Limerick, Ireland",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Goodbye Elm Park our first family home, we will see you soon. Roight now any ideas for quarantine 👀 @ Ennis Road, Limerick https://t.co/CAYCycJ5UI",https://twitter.com/elleobr/status/1412870964342317062,Sat Apr 07 13:50:31 +0000 2012,547619873,false,,1277,144,378,0,Limerick,Eleanor O'Brien RD,elleobr,934,,,false
"-0.18016398,51.48217862",Thu Jul 08 02:59:03 +0000 2021,,https://twitter.com/CelebFitnessTV/status/1412969452874780674/photo/1,http://dlvr.it/S3HK4v,0,1412969452874780674,,,,en,"Kensington, London",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Heart Inflammation After the COVID Vaccine Is Extremely Rare - Here's What You Should Know https://t.co/uOBJpLGVbp https://t.co/568acmzPI2,https://twitter.com/CelebFitnessTV/status/1412969452874780674,Tue May 13 19:46:46 +0000 2014,2493459529,false,Coming soon to UK TV screens... Celebrity Fitness!,5,1221,80,135,United Kingdom,Celebrity Fitness UK,CelebFitnessTV,19112,,,false
"-122.81,45.4797",Wed Jul 07 22:29:01 +0000 2021,artistsoninstagram joachimmcmillan america drama pandemic stay sexy,,http://www.mothings.com https://www.instagram.com/p/CRCvEgVLKUt/?utm_medium=twitter,1,1412901495771705344,,,,en,"Beaverton, OR",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","https://t.co/CK6T4baSH3 

#artistsoninstagram
#joachimmcmillan 
#america 
#drama
#pandemic 
#stay 
#sexy @ Beaverton, Oregon https://t.co/zreFXYLRpA",https://twitter.com/mcmillangallery/status/1412901495771705344,Thu Aug 06 03:28:40 +0000 2009,63356195,false,"Visionary Entrepreneur. Visual artist as well as  Bitcoin, NFT artist. Designer for MO brand.",100,65,751,3,Beaverton- Oregon,Joachim Mcmillan,mcmillangallery,781,,http://www.joachimmcmillan.com,false
"-0.13608912,51.50413561",Thu Jul 08 04:22:40 +0000 2021,,,http://dlvr.it/S3HTgz,0,1412990492275474438,,,,en,"London, England",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Son pays poignant, heartfelt tribute to two gay dads who died from AIDS just days apart: British &amp; Irish Lions coach Warren Gatland is hopeful their tour of South Africa can get back on track after a day of drama and uncertainty as a COVID-19 ... https://t.co/PLRSOqgtue",https://twitter.com/StigmabaseO/status/1412990492275474438,Thu Apr 29 13:56:48 +0000 2010,138418838,false,Americas — United Kingdom  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative. Founded in 2010,0,4144,3743,262,Americas | United Kingdom,Stigmabase | ORG,StigmabaseO,1828451,,https://www.stigmabase.org/,false
"121.6078,23.9816",Thu Jul 08 04:17:03 +0000 2021,,,https://www.instagram.com/p/CRDW5m0L2TC/?utm_medium=twitter,0,1412989082033086464,,,,en,"花蓮縣, 台灣",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Lockdown activity! @ Hualian City https://t.co/pbGGKC96mT,https://twitter.com/leatherprince/status/1412989082033086464,Sun Feb 22 09:29:11 +0000 2009,21555780,false,"We are husband and wife, Beon and Candy that handmade all of our stuffs, please visit, http://t.co/AgQvtlPbo2 or http://t.co/AfmrUUA1HX",103,562,1805,14,"Taiwan,Hualien",LeatherPrince,leatherprince,69214,,http://www.leatherprince.etsy.com,false
"101.65618998,3.12213226",Thu Jul 08 04:10:25 +0000 2021,,,https://www.instagram.com/p/CRDWJDuMiJv/?utm_medium=twitter,0,1412987413169770497,,,,en,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","I'm Fully Vaccinated Alhamdulillah! 🤲

I have completed my 2nd dose of AstraZeneca Vaccine. Hope to see more people get their full Vaccination soon so we can finally win this warfare against Covid-19. 💉  @jkjavmy https://t.co/zvwcTAoW9v",https://twitter.com/LookAtShaz/status/1412987413169770497,Wed Jul 15 11:02:33 +0000 2009,56987298,false,"Gymholic.
Die hard Formula 1 Fan. #LH44

Follow us at F1 Malaysia Twitter Community.",409,168,221,4,"Petaling Jaya, Malaysia",Shazrol Azly™,LookAtShaz,31179,,http://www.instagram.com/lookatshaz,false
